hostname,country,status,platform,page_load(ms)
Boxycharm.com,US,,,1098
Brookstone.com,US,,,334
Brookstone.com,US,,,334
Brookstone.com,US,,,334
Brookstone.com,US,,,334
Brookstone.com,US,,,334
BulbAmerica.com,CA,,,90
BulbAmerica.com,CA,,,90
BulbAmerica.com,CA,,,90
BulbAmerica.com,CA,,,90
BuildABear.com,US,,,398
BulkReefSupply.com,US,,Magento,618
BulkReefSupply.com,US,,Magento,618
Bulbs.com,US,,,626
BurlingtonCoatFactory.com,US,,,860
BurlingtonCoatFactory.com,US,,,860
BuyAutoParts.com,US,,,228
BuyOnlineNow.com,US,,,625
BurtsBees.com,US,,Demandware,1860
BurtsBees.com,US,,Demandware,1860
BurtsBees.com,US,,Demandware,1860
Filson.com,US,,Magento,846
CafePress.com,US,,,1348
CableOrganizer.com,US,,,651
Filson.com,US,,Magento,846
CablesandKits.com,US,,,1144
CalvinKlein.com,US,,,554
Cmp.CallawayGolf.com,US,,,491
Cmp.CallawayGolf.com,US,,,491
CaliBamboo.com,US,,,1081
Calendars.com,US,,,474
CampingWorld.com,US,,,407
CanadaDrugs.com,US,,,75
CampSaver.com,US,,Magento,476
CampingSurvival.com,US,,Magento,1175
Campmor.com,US,,,261
CarPartsKing.com,US,,,129
Shop.CaptainDaves.com,US,,Magento,319
CandyWarehouse.com,US,,,789
1800Lighting.com,US,,,230
1800Lighting.com,US,,,230
Carters.com,US,,Demandware,602
Carters.com,US,,Demandware,602
Carters.com,US,,Demandware,602
Carters.com,US,,Demandware,602
CarrotInk.com,US,,Magento,214
TacticalGear.com,US,,,359
TacticalGear.com,US,,,359
TacticalGear.com,US,,,359
CDW.com,US,,,770
CDW.com,US,,,770
CharmingCharlie.com,US,,Magento,465
chanel.com,FR,,,441
CharlotteRusse.com,US,,,806
CharmingCharlie.com,US,,Magento,465
ChampionsOnDisplay.com,US,,Bigcommerce,875
Chicos.com,US,,,579
Chicos.com,US,,,579
Chicos.com,US,,,579
Chewy.com,US,,,429
ChefsPlate.com,US,,,367
Choxi.com,,,,1
Christianbook.com,US,,,862
ChristopherandBanks.com,US,,Demandware,594
HearthSong.com,US,,,538
ChristopherandBanks.com,US,,Demandware,594
CleanFreak.com,US,,,304
Claires.com,US,,,588
ChubbiesShorts.com,US,,Shopify,434
DiplomaFrame.com,US,,,528
ChubbiesShorts.com,US,,Shopify,434
Coach.com,US,,,584
Coach.com,US,,,584
ClubFurniture.com,US,,,444
Coach.com,US,,,584
ClubFurniture.com,US,,,444
code42software.com,,,,1
ColeHaan.com,US,,,579
ColeHaan.com,US,,,579
ColeHaan.com,US,,,579
ColeHaan.com,US,,,579
Conns.com,US,,Magento,1095
Conns.com,US,,Magento,1095
CommercialBargains.com,CA,,Shopify,76
SwissColony.com,US,,,196
Columbia.com,US,,,1353
CosmeticMall.com,CA,,Shopify,94
Costco.com,US,,,717
Costco.com,US,,,717
Costco.com,US,,,717
Costco.com,US,,,717
CrateandBarrel.com,US,,,227
Craftsy.com,US,,,792
CountryClubPrep.com,CA,,,171
CountryClubPrep.com,CA,,,171
CountryClubPrep.com,CA,,,171
Store.CreekstoneFarms.com,US,,Bigcommerce,344
CrownAwards.com,US,,,569
Crestline.com,US,,,300
Crocs.com,US,,,725
Crocs.com,US,,,725
Crucial.com,US,,,830
Crucial.com,US,,,830
Crucial.com,US,,,830
Crucial.com,US,,,830
CTAInc.com,US,,,820
CustomInk.com,US,,,258
CVS.com,US,,Oracle Commerce,1851
CVS.com,US,,Oracle Commerce,1851
CVS.com,US,,Oracle Commerce,1851
CustomInk.com,US,,,258
Databazaar.com,US,,Magento,158
DanielSmith.com,US,,,575
DavidsBridal.com,US,,,437
Databazaar.com,US,,Magento,158
DavidsBridal.com,US,,,437
DeepDiscount.com,US,,,195
DelCity.net,US,,,370
Dazadi.com,US,,Bigcommerce,778
UGGAustralia.com,US,,Demandware,461
DealYard.com,US,,Magento,532
Dell.com,US,,,3261
Dell.com,US,,,3261
Dell.com,US,,,3261
DestinationMaternity.com,US,,Demandware,507
DesignByHumans.com,US,,,2104
DestinationXL.com,US,,,926
DiamondNexus.com,US,,Magento,655
DestinationXL.com,US,,,926
DestinationXL.com,US,,,926
Dexclusive.com,US,,Magento,734
DicksSportingGoods.com,US,,,285
DicksSportingGoods.com,US,,,285
Dillards.com,US,,,300
DietDirect.com,US,,Magento,783
DicksSportingGoods.com,US,,,285

Directron.com,,,,
DiscountDance.com,,,,
DiscountElectronics.com,,,,
DiscountTwo-WayRadio.com,,,,
DiscountRamps.com,,,,
DNA11.com,US,,,444
dogIDs.com,US,,,338
DoItBest.com,US,,,630
DisneyStore.com,US,,,1592
DoItWiser.com,US,,,1195
DollarShaveClub.com,US,,,554
DollarShaveClub.com,US,,,554
DollarShaveClub.com,US,,,554
DonaldJPliner.com,US,,,777
DonaldJPliner.com,US,,,777
DormCo.com,US,,,825
DoortoDoorOrganics.com,US,,,1275
DoverSaddlery.com,US,,,272
DraperJames.com,US,,Magento,1850
DoverPublications.com,US,,Yahoo! Ecommerce,452
DSW.com,US,,,311
DrJays.com,US,,,55
DuluthTrading.com,US,,,711
DrillSpot.com,US,,,205
DSTLD.com,US,,,821
Dungarees.net,US,,,691
DVF.com,US,,Demandware,481
eBags.com,US,,,1214
ElfCosmetics.com,US,,,302
EMS.com,US,,,324
eForCity.com,US,,,406
TackleDirect.com,US,,,257
eCampus.com,US,,,437
EddieBauer.com,US,,Oracle Commerce,198
EdibleArrangements.com,US,,,991
EmilieMShop.com,US,,Magento,598
EileenFisher.com,US,,Magento,443
EmilieMShop.com,US,,Magento,598
Eloquii.com,US,,Demandware,557
eMusic.com,US,,,499
eSalon.com,US,,,888
Envelopes.com,US,,,478
Equipatron.com,US,,Magento,700
eSalon.com,US,,,888
eSpecialNeeds.com,US,,Magento,2036
EsteeLauder.com,US,,,240
Etsy.com,US,,,932
Etsy.com,US,,,932
etailz.com,US,,,1052
eSportsOnline.com,US,,Magento,656
Evine.com,US,,,348
OfficeFurniture2go.com,US,,,526
eVitamins.com,US,,,710
Evine.com,US,,,348
EverythingKitchens.com,US,,Magento,959
GreekGear.com,US,,,1222
GreekGear.com,US,,,1222
GreekGear.com,US,,,1222
GreekGear.com,US,,,1222
GreekGear.com,US,,,1222
Fanatics.com,US,,,703
Sportco.com,CA,,,1020
Fashionphile.com,US,,,924
Fanatics.com,US,,,703
Fanatics.com,US,,,703
FastoolNow.com,US,,Yahoo! Ecommerce,591
Fathead.com,US,,,2173
Fathead.com,US,,,2173
Fathead.com,US,,,2173
Fathead.com,US,,,2173
FireMountainGems.com,US,,,1375
FireMountainGems.com,US,,,1375
FindTape.com,US,,,1826
FirstStreetOnline.com,US,,,1157
1stWebSales.com,US,,Magento,2100
FocusCamera.com,US,,Magento,905
Fitbit.com,US,,,295
Fitbit.com,US,,,295
FloorsToYourHome.com,US,,Magento,1312
FlexShopper.com,US,,Magento,996
FootLocker.com,US,,,135
FootLocker.com,US,,,135
FootLocker.com,US,,,135
Forever21.com,US,,,263
FootLocker.com,US,,,135
Francescas.com,US,,,537
Fossil.com,US,,,704
Fossil.com,US,,,704
Fossil.com,US,,,704
FramesDirect.com,US,,,574
FreeCountry.com,US,,,551
FreshDirect.com,US,,,1238
FreshDirect.com,US,,,1238
FreshDirect.com,US,,,1238
FrenchToast.com,US,,,1280
Freshpair.com,US,,,174
Freshpair.com,US,,,174
Freshpair.com,US,,,174
Frys.com,US,,,2168
Furniture.com,US,,,870
FusionBeads.com,US,,,318
FusionBeads.com,US,,,318
FusionBeads.com,US,,,318
FusionBeads.com,US,,,318
FusionBeads.com,US,,,318
Garmin.com,US,,,298
GameStop.com,US,,,1065
GameStop.com,US,,,1065
Gap.com,US,,,686
GameStop.com,US,,,1065
Gatorade.com,US,,,171
Gearhead.com,US,,,203
Gemvara.com,US,,,391
Lids.com,US,,,320
GearUp2Go.com,US,,Magento,6332
GlassesUSA.com,US,,,806
GlassesUSA.com,US,,,806
GiftTree.com,US,,,828
GiftTree.com,US,,,828
GiftTree.com,US,,,828
GNC.com,US,,,1179
GNC.com,US,,,1179
GNC.com,US,,,1179
Godiva.com,US,,,504
Golfballs.com,US,,,453
GolfClubs.com,US,,Bigcommerce,633
Golfsmith.com,US,,,1516
Golfsmith.com,US,,,1516
Golfsmith.com,US,,,1516
Golfsmith.com,US,,,1516
GourmetGiftBaskets.com,US,,,295
GourmetGiftBaskets.com,US,,,295
GourmetGiftBaskets.com,US,,,295
GreenChef.com,US,,,723
GreenChef.com,US,,,723
hm.com,GB,,,323
Hallmark.com,US,,,802
Shop.Guess.com,US,,,867
Gumps.com,US,,Intershop,1690
Gumps.com,US,,Intershop,1690
HamGo.com,CA,,,190
HamGo.com,CA,,,190
HamGo.com,CA,,,190
HamGo.com,CA,,,190
Hammacher.com,US,,,362
Harrys.com,US,,,365
Hayneedle.com,US,,Bigcommerce,647
Hayneedle.com,US,,Bigcommerce,647
HarrietCarter.com,US,,,375
Hayneedle.com,US,,Bigcommerce,647
HealthyDirections.com,US,,,220
HelixSleep.com,US,,,287
HelixSleep.com,US,,,287
Hem.com,CA,,Shopify,73
Heels.com,US,,,706
usa.Hermes.com,US,,,416
Hickies.com,CA,,,178
Hickies.com,CA,,,178
hhgregg.com,US,,,482
Hickies.com,CA,,,178
HipsandCurves.com,US,,Magento,477
HistoricalEmporium.com,US,,,630
TheParkCatalog.com,US,,Magento,569
HistoricalEmporium.com,US,,,630
HiDefLifestyle.com,US,,Magento,636
HobbyTron.com,US,,,669
Hollar.com,US,,,801
HobbyTron.com,US,,,669
HobbyTron.com,US,,,669
HoboBags.com,US,,,420
HomeChef.com,US,,,297
HorseSaddleShop.com,CA,,Yahoo! Ecommerce,299
HomeWetBar.com,US,,osCommerce,497
HomeFurnitureMart.com,US,,Yahoo! Ecommerce,296
HomeBrewOhio.com,US,,,1090
HouseofAntiqueHardware.com,US,,,376
Shopping.HP.com,US,,,398
HouseofAntiqueHardware.com,US,,,376
HouseofAntiqueHardware.com,US,,,376
HouseofAntiqueHardware.com,US,,,376
HumbleAbode.com,US,,Magento,1272
ACWholesalers.com,US,,Oracle Commerce,758
HSN.com,US,,,447
HugoBoss.com,GB,,,734
HugoBoss.com,GB,,,734
Ice.com,US,,,458
Igigi.com,CA,,Shopify,74
Shop.Ibex.com,US,,,1106
iBuyOfficeSupply.com,US,,,1144
iBuyOfficeSupply.com,US,,,1144
igourmet.com,US,,,797
Chapters.Indigo.ca,CA,,,542
Indochino.com,US,,,748
iHerb.com,US,,,569
Chapters.Indigo.ca,CA,,,542
Inmod.com,US,,,396
InkSell.com,US,,Yahoo! Ecommerce,246
InkedShop.com,CA,,,78
Inmod.com,US,,,396
Inmod.com,US,,,396
Ipsy.com,US,,,532
Ipsy.com,US,,,532
Stopzilla.com,US,,,250
Stopzilla.com,US,,,250
Stopzilla.com,US,,,250
IvoryElla.com,US,,,85
IvoryElla.com,US,,,85
IvoryElla.com,US,,,85
IvoryElla.com,US,,,85
IvoryElla.com,US,,,85
JRDunn.com,US,,,579
JRDunn.com,US,,,579
JRDunn.com,US,,,579
Jjill.com,US,,,295
Jjill.com,US,,,295
JamesAllen.com,US,,,710
JamesAllen.com,US,,,710
JamesAllen.com,US,,,710
JamesAllen.com,US,,,710
JacksSmallEngines.com,US,,,426
JEGS.com,US,,,762
JayBirdGear.com,US,,,1054
JeffersPet.com,US,,,858
JeffersPet.com,US,,,858
JeffersPet.com,US,,,858
OnlineBootStore.com,,,,2
JTV.com,US,,,586
JewelryWarehouse.com,US,,,354
JewelryWarehouse.com,US,,,354
JimmyJazz.com,US,,,104
Jockey.com,US,,,210
Jockey.com,US,,,210
Jockey.com,US,,,210
Jockey.com,US,,,210
JMBullion.com,US,,WooCommerce,583
Junonia.com,US,,,795
Junonia.com,US,,,795
Junonia.com,US,,,795
Jomashop.com,US,,Magento,84
JustStrings.com,US,,Yahoo! Ecommerce,268
KatydidCollection.com,US,,Shopify,332
KatydidCollection.com,US,,Shopify,332
KLWines.com,US,,,775
KateSpade.com,GB,,,999
KateSpade.com,GB,,,999
Kidrobot.com,CA,,Shopify,74
Kingdom.com,US,,Magento,323
KingArthurFlour.com,US,,,572
KingArthurFlour.com,US,,,572
Keurig.com,HK,,Hybris,320
Kohls.com,US,,,465
KnotStandard.com,US,,,270
KnotStandard.com,US,,,270
Kirklands.com,US,,,337
Kirklands.com,US,,,337
Lafayette148NY.com,US,,Magento,348
LLBean.com,US,,,448
LakeshoreLearning.com,US,,,617
VictoriasSecret.com,US,,,367
KontrolFreek.com,US,,,1054
LaylaGrayce.com,US,,,399
LandsEnd.com,US,,,385
LandfallNavigation.com,US,,Yahoo! Ecommerce,240
LaurenJames.com,,,,145
LaurenJames.com,,,,145
4inkjets.com,US,,,542
4inkjets.com,US,,,542
La-Z-Boy.com,US,,,742
La-Z-Boy.com,US,,,742
LeTote.com,US,,,321
Leesa.com,CA,,,102
Lenovo.com,US,,,198
Leesa.com,CA,,,102
LethalPerformance.com,US,,,765
Levenger.com,US,,,422
Levi.com,US,,,356
Levi.com,US,,,356
Levi.com,US,,,356
LightInTheBox.com,US,,,747
LightInTheBox.com,US,,,747
